status,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18
0,13.034,48.224,1.636,-5.985,0.859,-8.108,11.279,6.8484,52.264,19.476,0,-7.621,4.04,14.312,-10.205,52.264,14.312,58.249
0,5.585,4.323,0.124,-1.382,1.725,-1.693,0.373,59.3921,6.437,7.727,0.038,-1.506,2.114,1.134,-5.498,6.437,1.172,7.819
0,73.941,173.39,5.777,17.65,29.415,6.964,36.264,116.5532,222.38,162.995,33.812,11.873,48.99,34.236,2.776,222.38,71.291,204.73
0,78.357,1.178,2.291,28.835,0,20.244,24.994,773.5392,89.139,111.17,0,26.544,87.961,34.983,37.912,89.139,36.387,60.304
0,1175.5,1085.9,733.5,941.5,248.5,-1394.3,682.3,775.905,2758.8,7732.2,8156.7,208,1672.9,653.9,-2087.2,2758.8,9227.7,1817.3
0,0.752,0.032,0.001,-0.749,0.003,-0.743,0.147,20.5148,1.336,0.759,0,-0.75,1.304,0.19,-4.916,1.336,0.19,2.085
0,7.75,28.205,0.794,1.991,1.272,-1.467,3.351,2.1306,41.46,13.828,0.017,1.197,13.255,7.442,-69.796,41.46,8.809,39.469
0,310.406,735.591,110.626,314.209,73.688,124.35,138.181,1530.3092,1049.8,4238.727,1409.73,203.583,314.209,218.229,640.913,1049.8,2837.183,735.591
0,1032.6,351.8,56.5,340.8,203.6,218,302.5,9296.6,1447,1767.2,0,284.3,1095.2,337.8,1081.9,1447,459,1106.2
0,108.725,443.578,49.387,89.683,1.461,23.994,69.04,234.7654,533.261,466.066,157.315,40.296,89.683,107.407,199.107,533.261,326.619,443.578
0,917.039,989.974,73.383,442.459,284.009,266.047,13.108,8521.342,2060.523,1314.077,0,369.076,1070.549,225.504,781.312,2060.523,286.595,1618.064
0,6.378,7.133,0.003,-0.857,0,-0.57,0.947,2.577,6.276,7.563,0,-0.86,-0.857,0.527,1.265,6.276,0.527,7.133
0,1055.67,252.107,81.353,569.457,0,260.855,221.504,7191.0384,1150.669,3082.578,2075.201,488.104,898.562,536.57,1261.489,1150.669,2764.973,581.212
0,0.15,4.907,0.288,-3.962,0,-7.191,0,5.069,0.945,1.021,0,-4.25,-3.962,8.226,-132.757,0.945,8.226,4.907
0,2.689,0.56,0.214,-5.847,0,-14.206,0.215,62.1795,1.026,4.103,0,-6.061,0.466,1.071,-185.911,1.026,6.848,6.873
0,177.03,193.749,6.624,27.972,124.53,-0.885,41.433,13.6248,283.671,325.78,99.745,21.348,89.922,108.909,15.836,283.671,208.654,255.699
0,8.726,13.048,0.39,-3.879,1.424,-1.885,4.408,12.4988,18.562,40.952,5.94,-4.269,5.514,5.195,6.07,18.562,25.762,22.441
0,83.835,52.474,13.32,-27.545,10.905,-39.045,25.239,290.7431,113.475,115.048,0,-40.865,61.001,34.567,-6.753,113.475,35.871,141.02
0,384.365,567.222,18.445,45.388,248.548,3.068,68.105,607.5239,738.094,590.901,0,26.943,170.872,106.307,325.14,738.094,138.641,692.706
0,13.349,41.236,0.016,0.041,0,-0.086,8.8,6.0233,49.53,13.563,0,0.025,8.294,4.643,17.22,49.53,4.643,49.489
0,2.022,0.174,1.083,-8.708,0.117,-8.019,0.102,1.9207,1.046,11.488,0,-9.791,0.872,70.265,-211.291,1.046,70.265,9.754
0,91.467,112.583,3.28,11.787,63.282,4.182,26.04,20.3919,140.605,129.924,62.648,8.507,28.022,32.778,26.019,140.605,99.033,128.818
0,71.987,193.101,5.204,36.596,21.141,19.72,2.607,401.7312,296.5,132.302,0,31.392,103.399,35.106,-7.649,296.5,47.23,259.904
0,43.285,70.938,0.803,6.841,26.266,3.638,12.57,48.0623,89.717,47.304,0,6.038,18.779,21.509,13.132,89.717,22.277,82.876
0,86.204,67.013,1.859,17.473,24.499,9.715,17.544,118.3432,120.072,109.07,2.002,15.614,53.059,12.669,56.484,120.072,17.673,102.599
0,122.774,420.136,22.927,248.616,8.745,52.148,69.79,675.4635,668.752,1058.757,289.041,225.689,248.616,42.281,341.387,668.752,425.023,420.136
0,252.651,340.339,15.83,71.97,12.402,22.691,143.368,452.8139,480.358,473.013,67.014,56.14,140.019,128.421,189.255,480.358,198.965,408.388
0,23.906,9.901,0.94,-8.932,0.022,-9.764,0.606,64.1585,0.969,51.6,25.265,-9.872,-8.932,2.291,-57.62,0.969,27.556,9.901
0,2526,5065,381,1479,585,608,1557,5980.814,7618,9622,1605,1098,2553,2688,2719,7618,5703,6139
0,62.364,33.649,6.826,14.859,3.069,11.293,24.964,174.7018,65.72,172.516,0,8.033,32.071,7.9,58.748,65.72,8.76,50.861
0,4636,30194,307,1993,1578,743,1221,6086.0361,32484,10702,1587,1686,2290,2881,3512,32484,5965,30491
0,1799.817,2981.632,86.463,626.816,1076.952,311.623,458.094,9896.4845,5062.528,4518.774,1264.246,540.353,2080.896,677.953,1341.653,5062.528,2168.029,4435.712
0,1643.7,3031.7,141.4,719.8,651,360.2,725.4,5435.3881,4481.7,4872.1,1737.1,578.4,1450,839.3,1778.7,4481.7,3073.2,3761.9
0,134.906,115.648,6.306,21.111,47.167,6.937,33.398,212.3366,316.78,236.384,0.384,14.805,201.132,55.551,129.073,316.78,93.519,295.669
0,301.715,518.063,15.565,33.293,156.649,-0.942,108.25,207.561,757.498,677.513,80.188,17.728,239.435,147.403,124.394,757.498,281.373,724.205
0,3471.512,5714.398,405.778,1678.035,1675.751,930.362,1376.151,14809.8662,8959.087,10230.596,1128.747,1272.257,3244.689,2718.32,4199.887,8959.087,4423.413,7281.052
0,0.247,0.305,0.174,0.251,0,2.644,0.08,13.5732,1.292,3.339,0,0.077,0.987,8.604,-21.192,1.292,10.105,1.041
0,0.135,0.033,0.01,-0.648,0.059,-0.251,0.003,13.7474,0.077,0.151,0.119,-0.658,0.044,2.321,-97.866,0.077,2.44,0.725
0,24.41,10.532,0.832,4.495,5.039,5.128,5.659,21.2501,27.597,26.811,0.219,3.663,17.065,5.695,-0.491,27.597,5.971,23.102
0,73.358,22.41,2.583,3.628,4.118,-1.457,11.156,153.5719,80.273,99.077,0,1.045,57.863,17.195,25.342,80.273,17.387,76.645
0,20.226,1.988,1.885,-22.553,1.908,-26.725,0.621,25.3512,5.228,23.892,0,-24.438,3.24,1.691,-90.925,5.228,1.863,27.781
0,2.807,1.272,0.079,-0.456,0,-0.175,0.276,25.7912,1.357,8.268,0,-0.535,0.085,0.408,16.575,1.357,0.833,1.813
0,1988.146,160.622,92.281,449.582,5.912,248.438,149.664,5829.3963,1406.946,3265.73,599.998,357.301,1246.324,894.624,427.863,1406.946,1501.351,957.364
0,614.789,3022.368,537.035,608.518,0,-148.99,149.73,6858.6835,3831.706,10521.363,5993.691,71.483,809.338,877.762,-1108.001,3831.706,7639.122,3223.188
